gameid,teamSize,forts,duration_s,runcount,winner,rock_final,paper_final,scissors_final,rock_conversions,paper_conversions,scissors_conversions,rock_mode_HUNT,rock_mode_DEFEND,rock_mode_REGROUP,rock_mode_SCATTER,paper_mode_HUNT,paper_mode_DEFEND,paper_mode_REGROUP,paper_mode_SCATTER,scissors_mode_HUNT,scissors_mode_DEFEND,scissors_mode_REGROUP,scissors_mode_SCATTER,total_conversions,wipe_risk_total,wipe_risk_rock,wipe_risk_paper,wipe_risk_scissors,winner_had_fear_at_end,winner_prey_left,fort_near_wins,fort_cover_wins,fort_near_losses,fort_cover_losses,overcrowd_events,avg_pack_density,avg_flank_imbalance,endgame_frames,endgame_seconds,endgame_prey_start,endgame_split_events,endgame_simultaneous,VISION_FAR,NEAR_TARGET_AGGRO,CLUSTER_BONUS,FEAR_CLOSE_MULT,SCATTER_COUNT_THRESHOLD,TARGET_LOCK_TTL,HUNT_ADVANTAGE,COHESION_WEIGHT,PACK_HUNT_MULT,FINISH_BONUS,ESCAPE_BONUS_WEIGHT,FEAR_POP_SCALE
b3404b83-a1a7-4dd6-a1e9-b459ad04f3e7,7,6,0.18,58,ROCK,21,0,0,20,6,13,0.667,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.667,39,0,0,0,0,0,0,16,23,20,23,31,6.23,0.0,38,0.63,15,0,12,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
bcb5fc22-2ecb-4d3a-bce2-0ca4e3dcbbf6,6,3,0.86,308,ROCK,18,0,0,41,29,35,0.625,0.0,0.0,0.375,0.188,0.0,0.25,0.562,0.438,0.0,0.188,0.375,105,1,0,0,1,0,0,46,65,39,65,81,6.27,0.002,32,0.53,8,0,12,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
6d135a40-3fe3-47d1-9764-c8d6dd11ff5b,6,6,0.66,215,ROCK,18,0,0,25,13,19,0.545,0.0,0.182,0.273,0.0,0.0,0.545,0.455,0.364,0.0,0.182,0.455,57,1,0,0,1,0,0,29,32,28,29,47,6.61,0.025,103,1.72,17,0,12,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
109d2df2-cc53-48c4-8592-7992efff2af4,8,3,0.23,64,SCISSORS,0,0,24,1,9,17,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.75,0.75,0.0,0.25,0.0,27,0,0,0,0,0,0,2,12,6,13,19,7.56,0.047,48,0.8,11,0,4,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
08b519f9-f16b-4cb6-9eae-7e5664a08513,8,4,0.66,189,ROCK,24,0,0,31,15,23,0.3,0.0,0.2,0.5,0.1,0.0,0.6,0.3,0.6,0.0,0.1,0.3,69,1,0,0,1,0,0,20,37,19,42,56,6.86,0.008,53,0.88,20,0,8,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
613c96a0-6773-4eca-98f6-d00339d6ff2b,7,4,0.57,181,ROCK,21,0,0,31,17,24,0.444,0.0,0.111,0.444,0.0,0.0,0.667,0.333,0.333,0.0,0.222,0.444,72,1,0,0,1,0,0,21,38,26,38,58,6.89,0.013,85,1.42,20,0,8,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
f173528c-c255-4cfa-8815-c66f5eda06dd,6,4,0.34,128,SCISSORS,0,0,18,5,11,17,0.0,0.0,0.857,0.143,0.143,0.0,0.286,0.571,0.571,0.0,0.143,0.286,33,1,0,1,0,0,0,5,15,12,12,27,7.06,0.003,68,1.13,15,0,8,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
e45e3a6c-1aa4-4f7b-aaff-962f5fae3a6e,8,4,0.35,117,ROCK,24,0,0,22,6,14,0.333,0.0,0.167,0.5,0.0,0.0,0.667,0.333,0.333,0.0,0.333,0.333,42,1,0,0,1,0,0,16,21,18,22,33,9.02,0.008,37,0.62,11,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
2ddc7541-c203-4668-9e7d-07457df0e508,6,5,0.35,131,ROCK,18,0,0,17,5,11,0.286,0.0,0.143,0.571,0.0,0.0,0.714,0.286,0.429,0.0,0.286,0.286,33,1,0,0,1,0,0,12,21,15,20,28,6.58,0.0,43,0.72,9,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
a0cbd18b-0e8e-4ccd-91a1-78698dd5e583,7,3,0.3,92,SCISSORS,0,0,21,12,19,26,0.0,0.0,0.6,0.4,0.0,0.0,0.4,0.6,0.4,0.0,0.6,0.0,57,0,0,0,0,0,0,20,23,16,26,47,6.19,0.005,36,0.6,9,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
6895ff53-e844-4f54-961a-9fc2a3717733,9,4,0.84,256,ROCK,27,0,0,47,29,38,0.462,0.0,0.154,0.385,0.231,0.0,0.231,0.538,0.769,0.0,0.0,0.231,114,1,0,0,1,0,0,33,86,48,85,89,7.08,0.003,32,0.53,12,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
ca84863e-99d2-4499-a441-19c2bab4448a,9,3,0.54,154,ROCK,27,0,0,39,21,30,0.5,0.0,0.25,0.25,0.0,0.0,0.5,0.5,0.375,0.0,0.25,0.375,90,1,0,0,1,0,0,20,53,27,49,72,7.71,0.0,62,1.03,24,0,13,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
d0aaef46-5b0b-4776-8eb5-a1dddc8301b0,9,4,0.27,76,ROCK,27,0,0,30,12,21,0.5,0.0,0.5,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.25,63,1,0,0,1,0,0,29,43,27,44,55,7.52,0.018,32,0.53,18,0,13,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
13cb3ffb-b099-401f-a8f5-d821c99f5c70,6,4,0.93,334,SCISSORS,0,0,18,25,31,37,0.176,0.0,0.176,0.647,0.353,0.0,0.059,0.588,0.294,0.0,0.118,0.588,93,0,0,0,0,0,0,48,81,43,79,70,6.09,0.019,18,0.3,3,0,3,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
01ea620e-2cae-46f5-9dd9-f495830b084e,6,5,0.5,192,PAPER,0,18,0,16,22,10,0.5,0.0,0.2,0.3,0.3,0.0,0.1,0.6,0.0,0.0,0.5,0.5,48,1,1,0,0,0,0,22,32,24,32,31,4.96,0.0,56,0.93,12,0,3,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
9b55c212-d98b-40d1-9dc9-43ff32f72ab8,9,6,0.37,111,ROCK,27,0,0,31,13,22,0.333,0.0,0.333,0.333,0.0,0.0,0.833,0.167,0.333,0.0,0.333,0.333,66,0,0,0,0,0,0,23,48,29,51,53,6.94,0.01,35,0.58,13,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
ad32d3a0-4b7d-45e3-94b6-479d6622c4b3,6,5,0.6,219,SCISSORS,0,0,18,19,25,31,0.182,0.0,0.182,0.636,0.455,0.0,0.182,0.364,0.364,0.0,0.091,0.545,75,1,0,1,0,0,0,29,43,35,46,60,5.79,0.003,43,0.72,16,0,10,30.0,2.4,0.95,2.1,4,45,1.15,0.55,1.9,1.1,0.65,0.55
