gameid,time_s,runcount,teamSize,rock,paper,scissors,rock_fear,rock_prey,paper_fear,paper_prey,scissors_fear,scissors_prey,rock_mode,paper_mode,scissors_mode,any_last_prey_risk
0f56b3c6-9311-44cc-ab5f-888c955b4d7e,8.21,145,12,6,3,27,3,27,27,6,6,3,SCATTER,SCATTER,HUNT,0
0f56b3c6-9311-44cc-ab5f-888c955b4d7e,16.22,295,12,31,0,5,0,5,5,31,31,0,HUNT,REGROUP,SCATTER,1
1951edc8-7149-4632-a1f6-0bba105707b5,7.02,145,11,2,21,10,21,10,10,2,2,21,SCATTER,HUNT,HUNT,0
f78ff44d-ca65-4583-99e8-7a140b1749f2,11.09,145,14,13,7,22,7,22,22,13,13,7,HUNT,DEFEND,HUNT,0
f78ff44d-ca65-4583-99e8-7a140b1749f2,24.29,295,14,7,32,3,32,3,3,7,7,32,DEFEND,HUNT,SCATTER,0
855f6be5-1797-4fdc-b01a-879557fba738,1.76,145,5,4,4,7,4,7,7,4,4,4,SCATTER,SCATTER,HUNT,0
855f6be5-1797-4fdc-b01a-879557fba738,4.4,295,5,3,1,11,1,11,11,3,3,1,SCATTER,SCATTER,HUNT,0
855f6be5-1797-4fdc-b01a-879557fba738,8.92,445,5,1,14,0,14,0,0,1,1,14,SCATTER,HUNT,REGROUP,1
0c780b58-630b-4c7f-98c4-43d2c5616c97,2.7,115,8,7,6,11,6,11,11,7,7,6,DEFEND,REGROUP,HUNT,0
0c780b58-630b-4c7f-98c4-43d2c5616c97,7.14,265,8,20,1,3,1,3,3,20,20,1,HUNT,SCATTER,SCATTER,0
0c780b58-630b-4c7f-98c4-43d2c5616c97,11.99,415,8,12,12,0,12,0,0,12,12,12,SCATTER,HUNT,REGROUP,1
f7168066-7e90-4917-873e-79f1ce841e66,5.04,145,9,13,4,10,4,10,10,13,13,4,HUNT,SCATTER,HUNT,0
f7168066-7e90-4917-873e-79f1ce841e66,11.36,295,9,1,26,0,26,0,0,1,1,26,SCATTER,HUNT,REGROUP,1
c6b38a7d-8d19-4e32-a05d-7d1d0192b032,2.0,145,5,7,0,8,0,8,8,7,7,0,HUNT,REGROUP,SCATTER,1
63f73921-917c-4e69-9ce4-cfe08d948567,2.07,105,7,7,9,5,9,5,5,7,7,9,HUNT,HUNT,SCATTER,0
63f73921-917c-4e69-9ce4-cfe08d948567,5.13,255,7,4,10,7,10,7,7,4,4,10,SCATTER,HUNT,HUNT,0
63f73921-917c-4e69-9ce4-cfe08d948567,9.02,405,7,1,7,13,7,13,13,1,1,7,SCATTER,REGROUP,HUNT,0
5a448ecc-ac88-4805-8c7f-f3fbb414c613,4.15,105,8,15,1,8,1,8,8,15,15,1,HUNT,SCATTER,DEFEND,0
5a448ecc-ac88-4805-8c7f-f3fbb414c613,9.34,255,8,3,21,0,21,0,0,3,3,21,SCATTER,HUNT,REGROUP,1
6bf2faab-c96e-4534-b3ed-afd68a09f32e,1.79,140,5,3,1,11,1,11,11,3,3,1,SCATTER,SCATTER,HUNT,0
6bf2faab-c96e-4534-b3ed-afd68a09f32e,4.11,290,5,11,1,3,1,3,3,11,11,1,HUNT,SCATTER,SCATTER,0
6bf2faab-c96e-4534-b3ed-afd68a09f32e,7.5,440,5,3,12,0,12,0,0,3,3,12,SCATTER,HUNT,REGROUP,1
1779358e-71b5-4606-ba69-99dacd01ae1d,1.33,120,6,7,6,5,6,5,5,7,7,6,REGROUP,REGROUP,SCATTER,0
